feature,reversed_mean,reversed_median,continued_mean,continued_median
ret_7d,0.23054865756897003,0.17915488532830648,0.20113853080051264,0.16239476145930776
top20_streak_length,1.0,1.0,1.0,1.0
prior_top20_entries_30d,1.037484885126965,1.0,1.0688306609307783,1.0
days_since_listing,599.0004836759372,344.0,647.3539303871725,367.0
volume,12308233665.776855,196576802.0,11237919365.201118,155416925.0
quote_volume,350507208.3667234,83990366.41583,337783373.68387246,66562530.91388
trade_count,1066499.8592503022,500961.0,878352.3633163864,403411.0
