filter_name,selected_count,avg_test_reversal_rate,median_test_forward_14d_median,avg_test_forward_14d_mean,total_test_count
trade_count_top_half,13,0.7117381249155323,-0.11329036949812049,0.0010000719815995984,1396
quote_vol_top_half,8,0.6790184912090905,-0.10726606000176314,-0.05564683690569781,834
ret_7d_top_half,1,0.6574074074074074,-0.12245425541305682,-0.0228119866527801,108
repeat_entry,1,0.6224489795918368,-0.06707783491704095,-0.03674201451435153,98
younger_than_median,1,0.432,0.04733879222108506,0.09554707897854398,125
